"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,360,236
1,9,5,1074,397
2,21,2,772,257
3,10,1,768,210
4,11,1,686,182
5,9,1,658,159
6,9,0,681,148
7,4,2,668,165
8,5,1,653,164
9,2,0,577,142
10,1,2,515,146
11,4,3,452,170
12,3,0,426,142
13,1,0,337,142
14,2,1,306,154
15,0,1,245,132
16,1,0,208,124
17,0,0,196,125
18,0,0,150,145
19,0,0,150,140
20,1,0,139,128
21,0,0,136,118
22,2,0,133,111
23,2,1,119,87
24,0,2,125,101
25,0,1,116,92
26,1,1,99,98
27,2,1,92,70
28,1,0,101,74
29,0,0,101,71
30,0,0,88,60
31,0,0,93,48
32,0,1,92,56
33,0,0,81,41
34,0,0,71,42
35,1,0,78,42
36,2,0,73,43
37,0,0,76,41
38,0,0,69,24
39,0,0,66,13
40,0,0,67,30
41,1,0,74,18
42,0,1,75,17
43,0,1,63,28
44,1,0,55,20
45,0,1,37,13
46,0,1,57,13
47,0,0,41,12
48,0,0,47,14
49,0,0,48,10
50,0,0,43,9
51,0,0,39,8
52,0,1,30,13
53,0,0,35,8
54,0,0,28,9
55,0,0,37,6
56,1,0,35,7
57,0,1,23,7
58,0,1,22,5
59,0,0,21,3
60,0,NA,NA,NA
