"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,0,335,229
1,6,5,997,380
2,30,2,729,247
3,12,3,737,199
4,17,3,663,183
5,9,0,649,155
6,5,0,671,145
7,3,2,656,164
8,7,3,644,159
9,5,0,576,140
10,2,0,509,139
11,4,0,450,170
12,0,0,424,140
13,0,0,335,140
14,2,0,303,152
15,1,0,243,132
16,0,1,207,124
17,1,1,195,122
18,0,0,149,142
19,0,0,147,141
20,2,0,138,128
21,0,0,134,116
22,2,0,133,109
23,2,1,118,87
24,0,0,125,99
25,0,0,116,92
26,0,0,99,98
27,0,0,92,70
28,0,0,100,74
29,1,1,101,69
30,0,0,88,60
31,1,0,92,47
32,0,0,90,55
33,0,0,81,41
34,0,0,69,41
35,1,0,76,42
36,3,0,73,43
37,0,0,77,41
38,1,0,69,24
39,0,0,66,13
40,0,0,65,30
41,1,0,73,18
42,0,0,73,18
43,2,0,63,28
44,0,1,55,20
45,0,0,37,13
46,0,0,57,13
47,0,0,41,13
48,0,1,47,14
49,0,0,46,10
50,2,0,43,9
51,0,0,38,8
52,1,0,30,13
53,0,0,35,8
54,0,0,27,9
55,1,0,37,6
56,1,1,35,7
57,0,0,22,6
58,0,0,22,5
59,0,0,21,3
60,0,NA,NA,NA
