"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,358,239
1,11,4,1097,403
2,27,9,799,262
3,9,4,783,212
4,14,2,693,184
5,12,1,666,166
6,10,6,685,148
7,3,0,670,166
8,6,3,654,169
9,2,1,580,143
10,3,0,518,149
11,2,2,454,169
12,2,0,429,144
13,3,0,339,142
14,0,1,306,154
15,1,0,245,132
16,2,0,208,124
17,0,1,199,126
18,0,1,150,146
19,0,1,150,140
20,1,0,139,128
21,0,1,137,117
22,1,0,133,110
23,2,0,119,87
24,0,0,126,102
25,0,0,117,94
26,0,0,100,98
27,2,0,93,71
28,0,0,101,74
29,0,1,101,71
30,0,0,89,60
31,0,1,95,49
32,0,0,91,55
33,0,0,81,42
34,0,0,71,42
35,1,0,77,42
36,2,0,73,44
37,0,0,77,42
38,0,1,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,74,18
42,1,0,76,17
43,0,0,65,28
44,0,0,55,20
45,1,0,38,13
46,0,0,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,48,10
50,0,0,43,9
51,0,0,39,8
52,0,1,30,13
53,0,0,35,9
54,2,0,29,9
55,0,0,37,6
56,1,0,35,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
