"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,6,202,162
2,7,8,576,244
3,4,9,468,166
4,14,6,482,146
5,6,9,464,129
6,3,12,476,102
7,6,10,500,97
8,7,3,491,125
9,6,11,476,120
10,6,10,419,104
11,3,7,372,102
12,3,8,314,126
13,3,6,308,104
14,7,7,261,109
15,2,9,231,110
16,2,4,197,111
17,0,1,175,96
18,2,5,147,97
19,1,2,124,117
20,1,4,104,103
21,2,3,106,102
22,1,0,99,83
23,1,3,91,81
24,2,4,88,66
25,2,4,92,73
26,2,3,83,61
27,0,4,79,74
28,0,6,81,48
29,1,4,77,50
30,0,3,82,52
31,1,4,73,45
32,2,0,76,37
33,0,2,73,38
34,1,1,63,30
35,0,2,63,30
36,0,1,57,30
37,1,4,55,31
38,0,3,53,27
39,0,2,54,16
40,0,3,51,8
41,0,0,52,26
42,0,1,57,16
43,0,1,65,13
44,0,0,55,21
45,0,2,38,13
46,1,1,27,11
47,0,0,52,11
48,1,2,34,6
49,0,0,36,10
50,0,0,34,6
51,0,0,36,7
52,0,0,30,7
53,1,1,27,8
54,0,0,29,7
55,1,0,21,7
56,0,0,31,4
57,0,0,29,6
58,0,0,19,3
59,0,0,18,4
60,0,0,14,3
