"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,6,298,219
1,8,5,830,345
2,38,7,649,230
3,18,7,680,188
4,17,6,629,170
5,13,6,621,146
6,10,7,647,135
7,5,6,634,159
8,13,0,626,153
9,7,6,558,133
10,4,4,491,132
11,10,1,439,167
12,6,5,408,133
13,8,4,327,137
14,2,3,296,147
15,2,2,235,129
16,1,5,203,120
17,0,4,189,120
18,3,7,146,138
19,0,4,146,138
20,1,0,135,125
21,1,5,133,111
22,2,4,129,102
23,2,1,115,81
24,1,6,119,97
25,2,1,111,90
26,0,3,96,97
27,3,1,91,69
28,0,1,98,72
29,0,2,100,68
30,1,1,89,58
31,0,1,88,44
32,1,0,91,55
33,1,0,81,41
34,0,0,67,39
35,3,0,71,42
36,3,0,69,42
37,0,0,75,38
38,3,1,67,24
39,0,1,63,13
40,1,2,62,29
41,0,0,69,18
42,1,1,73,17
43,3,0,62,28
44,0,0,52,19
45,1,0,36,13
46,0,1,55,13
47,1,0,41,10
48,0,0,47,13
49,0,0,45,9
50,1,0,42,9
51,1,0,39,7
52,1,1,29,12
53,1,1,35,9
54,0,0,28,8
55,0,0,35,6
56,2,0,35,7
57,0,0,22,5
58,1,0,23,5
59,1,1,19,3
60,1,NA,NA,NA
