"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,5,356,238
1,8,2,1074,399
2,26,4,789,260
3,10,2,778,211
4,12,4,691,182
5,8,1,667,162
6,5,2,683,148
7,2,1,671,166
8,5,0,654,166
9,2,0,579,143
10,2,1,517,148
11,1,0,452,169
12,1,1,428,144
13,2,1,338,142
14,1,0,306,154
15,0,2,245,132
16,2,0,208,124
17,0,1,198,126
18,1,0,150,145
19,0,0,150,141
20,1,0,139,128
21,0,0,137,117
22,1,1,132,110
23,2,0,119,87
24,0,1,126,101
25,0,0,117,93
26,0,0,100,98
27,1,0,93,71
28,0,0,101,74
29,0,0,101,71
30,0,0,88,60
31,1,1,94,48
32,0,0,91,54
33,0,1,81,41
34,0,0,71,42
35,1,0,78,42
36,2,0,73,43
37,0,0,77,42
38,0,1,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,74,18
42,1,0,76,18
43,0,0,64,28
44,0,0,55,20
45,0,0,38,13
46,0,0,57,13
47,0,0,41,12
48,0,0,48,15
49,0,0,48,10
50,0,0,43,9
51,0,1,39,8
52,0,0,30,13
53,0,0,35,9
54,1,0,29,9
55,0,0,37,6
56,1,0,35,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
