"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,3,269,212
1,8,11,759,323
2,21,10,607,215
3,13,16,648,185
4,13,8,602,158
5,10,4,604,139
6,11,1,632,131
7,7,7,617,156
8,13,6,614,150
9,5,7,546,130
10,7,4,479,127
11,9,6,425,160
12,6,2,396,131
13,3,3,321,132
14,5,6,289,146
15,3,5,231,131
16,3,2,203,116
17,0,1,180,117
18,8,1,142,138
19,2,5,142,133
20,2,2,133,125
21,0,3,126,107
22,1,2,122,101
23,7,1,113,78
24,2,9,116,96
25,2,5,107,85
26,0,4,93,92
27,5,3,87,69
28,2,0,94,71
29,1,3,96,68
30,4,0,85,57
31,1,4,86,45
32,1,4,85,52
33,2,2,78,41
34,1,1,67,37
35,4,1,68,41
36,2,3,68,41
37,1,2,74,37
38,1,3,63,22
39,3,1,61,13
40,2,2,62,28
41,1,1,65,18
42,3,2,68,15
43,3,0,60,27
44,1,5,49,15
45,2,3,34,13
46,1,3,55,13
47,0,1,40,10
48,1,5,43,13
49,3,3,39,9
50,2,1,38,9
51,1,3,35,7
52,1,0,29,11
53,1,2,34,8
54,0,1,24,8
55,3,2,35,6
56,2,1,33,7
57,1,2,20,5
58,1,2,21,4
59,2,2,17,3
60,0,NA,NA,NA
