"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,0,317,227
1,13,16,931,367
2,34,5,701,234
3,20,8,714,195
4,20,2,646,182
5,13,2,641,151
6,6,2,660,142
7,4,3,642,159
8,12,4,639,157
9,4,2,565,135
10,5,2,499,135
11,12,1,445,168
12,3,3,418,137
13,2,2,328,141
14,3,1,300,150
15,2,1,239,132
16,2,1,204,123
17,1,4,195,121
18,0,1,145,140
19,0,1,146,139
20,1,2,136,126
21,0,0,133,116
22,2,1,131,105
23,2,2,118,84
24,0,1,123,100
25,2,1,114,92
26,0,1,98,98
27,1,0,92,70
28,0,1,99,73
29,0,2,100,69
30,1,2,88,59
31,0,0,90,47
32,1,0,91,57
33,0,0,81,41
34,0,1,68,39
35,2,4,75,42
36,2,2,70,43
37,0,0,75,39
38,1,0,67,24
39,0,0,64,13
40,2,0,64,30
41,2,0,72,18
42,0,3,73,17
43,3,0,62,28
44,0,1,53,19
45,1,1,36,13
46,0,1,56,13
47,1,0,41,10
48,0,0,46,13
49,0,1,45,9
50,1,0,43,9
51,0,1,37,7
52,1,1,29,13
53,1,0,35,8
54,0,2,27,9
55,0,1,36,6
56,2,0,35,7
57,0,0,22,5
58,1,0,22,5
59,0,0,19,3
60,0,NA,NA,NA
