"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,2,257,204
1,8,15,720,316
2,19,20,591,214
3,16,27,628,181
4,21,13,590,153
5,9,10,597,136
6,7,13,620,130
7,13,8,601,154
8,15,7,607,148
9,11,17,534,129
10,11,8,464,125
11,12,10,413,159
12,7,7,386,127
13,8,10,313,132
14,5,6,280,143
15,9,8,228,128
16,3,9,197,114
17,4,6,176,117
18,5,7,139,134
19,2,7,138,131
20,1,11,128,125
21,6,4,120,102
22,3,9,118,97
23,7,9,109,76
24,3,6,112,94
25,5,6,96,79
26,8,11,90,91
27,3,9,85,64
28,3,5,87,66
29,5,4,94,64
30,2,6,80,56
31,3,9,81,45
32,4,3,79,50
33,4,6,70,38
34,6,7,67,35
35,1,6,62,38
36,6,6,66,39
37,2,4,68,36
38,5,4,61,22
39,1,4,58,13
40,0,1,57,27
41,4,3,61,18
42,1,3,67,15
43,1,2,57,26
44,3,2,47,14
45,0,1,32,13
46,0,2,52,12
47,3,1,39,9
48,1,1,38,11
49,2,2,37,9
50,1,4,37,9
51,1,2,35,7
52,1,1,29,11
53,0,0,33,8
54,0,2,23,7
55,1,3,34,5
56,2,1,31,7
57,1,1,19,5
58,0,2,21,4
59,1,2,16,3
60,1,NA,NA,NA
