"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,4,405,269
1,2,5,1276,451
2,18,1,904,285
3,7,0,871,233
4,14,4,747,204
5,4,3,708,175
6,2,4,705,155
7,5,7,687,184
8,4,4,669,175
9,5,2,591,150
10,2,4,533,153
11,2,1,467,174
12,0,0,442,147
13,2,1,346,149
14,3,1,311,158
15,0,2,250,138
16,0,1,214,129
17,1,1,201,130
18,0,1,155,150
19,0,0,156,141
20,0,2,145,131
21,0,4,141,117
22,0,2,135,111
23,1,0,120,89
24,0,0,127,101
25,0,1,117,96
26,1,1,103,99
27,1,1,95,71
28,0,0,102,77
29,0,0,101,71
30,0,0,90,60
31,0,0,96,50
32,1,0,91,55
33,0,0,80,41
34,0,0,72,43
35,0,0,81,42
36,0,0,74,44
37,0,0,77,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,76,18
42,0,0,76,17
43,0,0,66,28
44,0,0,57,20
45,0,0,38,13
46,0,0,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,49,10
50,0,0,43,9
51,0,0,39,8
52,0,0,31,13
53,0,0,36,9
54,0,0,28,9
55,0,0,37,6
56,2,0,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
