"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,3,315,224
1,8,10,915,362
2,35,6,691,234
3,20,2,705,194
4,21,4,642,181
5,14,3,637,150
6,10,5,653,140
7,7,3,643,159
8,11,3,635,156
9,3,8,563,135
10,7,3,497,134
11,12,3,442,167
12,4,1,415,137
13,3,2,330,139
14,3,2,299,150
15,2,6,238,131
16,2,2,203,122
17,3,1,193,120
18,0,2,146,140
19,0,2,146,138
20,0,2,136,125
21,0,4,134,113
22,1,2,130,105
23,1,0,118,84
24,0,0,122,100
25,3,1,113,92
26,1,1,98,98
27,1,3,91,70
28,1,2,99,73
29,0,1,100,69
30,1,0,88,59
31,0,0,89,46
32,1,0,90,56
33,0,0,81,41
34,0,5,69,39
35,2,0,74,42
36,3,1,70,43
37,0,1,76,39
38,1,1,67,24
39,0,2,64,13
40,3,2,63,29
41,0,1,72,18
42,0,0,73,16
43,3,1,62,28
44,0,1,53,19
45,1,0,36,13
46,0,2,56,13
47,0,1,42,10
48,0,0,46,13
49,0,0,45,9
50,1,0,43,9
51,0,0,38,7
52,1,0,29,13
53,1,1,35,8
54,0,1,28,9
55,1,0,35,6
56,2,0,35,7
57,0,0,22,5
58,1,0,22,5
59,0,0,19,3
60,0,NA,NA,NA
