"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,5,314,221
1,5,14,885,359
2,42,10,673,233
3,19,5,691,192
4,22,15,633,177
5,14,14,632,149
6,8,2,650,138
7,6,9,638,159
8,14,5,633,154
9,5,4,559,135
10,6,5,495,134
11,12,3,442,168
12,4,7,414,136
13,4,5,330,138
14,2,5,297,150
15,2,1,237,129
16,1,2,203,121
17,0,4,192,120
18,0,2,145,139
19,0,3,147,138
20,0,2,136,125
21,0,1,134,113
22,1,0,130,104
23,1,2,116,84
24,2,1,121,99
25,1,0,113,92
26,1,5,97,98
27,2,0,91,70
28,0,1,98,73
29,1,1,100,69
30,1,1,88,59
31,0,2,90,46
32,1,2,90,55
33,0,1,81,41
34,0,0,68,39
35,3,1,74,42
36,3,1,70,42
37,0,0,75,39
38,2,4,67,24
39,0,0,63,13
40,1,0,63,29
41,0,0,70,18
42,2,1,73,17
43,3,0,62,28
44,0,0,53,19
45,1,1,36,13
46,0,1,56,13
47,1,0,41,10
48,0,0,46,13
49,0,0,45,9
50,1,0,43,9
51,0,0,38,7
52,1,0,29,13
53,1,0,35,8
54,0,1,27,8
55,0,0,35,6
56,2,0,35,7
57,0,0,22,5
58,1,0,22,5
59,0,0,19,3
60,0,NA,NA,NA
