"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,348,236
1,12,3,1055,391
2,34,3,751,255
3,17,2,751,207
4,20,0,675,182
5,17,1,655,157
6,5,0,679,146
7,4,2,663,165
8,8,2,651,163
9,4,3,576,142
10,1,0,512,145
11,3,0,451,170
12,1,4,425,142
13,2,1,338,140
14,2,1,305,153
15,2,0,245,132
16,0,0,208,124
17,0,1,195,124
18,2,0,150,145
19,0,3,149,140
20,2,0,139,128
21,0,0,136,118
22,1,0,132,109
23,2,0,118,87
24,0,2,125,100
25,0,1,116,94
26,1,1,99,98
27,1,1,92,70
28,0,3,101,74
29,0,0,102,70
30,0,1,88,60
31,0,0,92,48
32,0,0,90,55
33,1,0,81,41
34,0,1,70,42
35,1,0,77,42
36,1,1,73,43
37,0,0,76,41
38,1,0,69,24
39,0,1,66,14
40,0,2,67,30
41,0,0,74,18
42,0,0,75,17
43,1,1,63,28
44,0,0,55,20
45,0,0,37,13
46,0,0,57,13
47,0,0,41,12
48,0,0,47,14
49,0,0,47,10
50,1,0,43,9
51,0,0,38,8
52,1,0,30,13
53,0,0,35,8
54,0,0,29,9
55,0,0,37,6
56,1,0,35,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
