"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,0,322,228
1,13,2,937,369
2,35,2,700,236
3,21,11,714,195
4,23,6,646,182
5,15,5,641,151
6,6,7,662,142
7,4,8,647,159
8,10,2,639,157
9,4,2,566,135
10,4,1,499,136
11,11,1,444,167
12,3,4,418,137
13,2,2,327,141
14,3,2,300,150
15,2,1,239,132
16,2,2,205,123
17,0,2,195,121
18,0,0,145,140
19,1,1,146,139
20,1,1,136,126
21,0,2,133,116
22,2,1,131,105
23,2,1,118,84
24,0,2,123,99
25,2,0,114,93
26,1,1,98,98
27,1,2,92,70
28,0,0,99,73
29,0,1,100,69
30,1,2,88,59
31,0,0,90,47
32,1,1,90,56
33,0,1,81,41
34,0,2,68,39
35,3,0,74,42
36,2,0,70,43
37,0,0,76,40
38,1,0,67,24
39,0,3,64,13
40,2,2,64,30
41,2,1,72,18
42,0,0,73,17
43,3,0,62,28
44,0,0,53,20
45,1,0,36,13
46,0,2,56,13
47,1,0,41,10
48,0,1,46,13
49,0,1,45,9
50,1,1,43,9
51,0,0,37,8
52,1,0,29,13
53,1,1,35,8
54,0,0,28,9
55,0,0,35,6
56,2,1,35,7
57,0,0,22,5
58,1,2,22,5
59,0,1,20,3
60,0,NA,NA,NA
