"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,7,243,194
1,12,40,674,294
2,24,42,556,200
3,17,24,567,172
4,22,36,552,148
5,16,39,559,127
6,21,44,569,117
7,24,37,563,144
8,21,25,565,141
9,16,25,486,126
10,23,19,423,119
11,21,13,367,145
12,20,14,359,119
13,13,27,294,127
14,8,20,266,134
15,4,19,214,125
16,9,12,189,108
17,3,20,156,114
18,7,15,133,126
19,1,15,122,121
20,6,11,120,112
21,3,11,110,93
22,2,9,107,90
23,3,10,97,74
24,3,5,106,88
25,2,6,91,69
26,1,14,86,82
27,3,5,84,59
28,0,9,82,59
29,3,5,89,57
30,3,3,77,53
31,2,0,79,44
32,3,4,79,43
33,1,4,67,31
34,0,1,66,32
35,0,2,58,36
36,2,2,65,36
37,0,3,61,35
38,5,4,59,19
39,0,2,53,10
40,4,1,55,27
41,1,1,59,17
42,0,2,65,14
43,1,1,57,24
44,0,2,44,13
45,1,5,29,12
46,2,2,52,11
47,0,2,36,8
48,1,0,37,10
49,0,2,35,10
50,2,0,38,8
51,0,0,35,7
52,0,0,29,11
53,0,2,32,8
54,0,0,22,7
55,1,0,33,5
56,3,1,31,6
57,0,0,19,4
58,0,2,20,4
59,0,0,16,3
60,0,NA,NA,NA
