"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,353,237
1,9,4,1072,399
2,22,3,785,259
3,11,1,778,211
4,11,3,690,182
5,7,1,664,162
6,7,0,683,148
7,2,0,670,166
8,5,1,654,166
9,2,0,579,143
10,2,2,518,148
11,1,1,453,171
12,1,0,428,144
13,2,2,338,141
14,1,1,306,154
15,0,1,245,132
16,1,0,208,124
17,0,0,198,127
18,1,0,150,145
19,0,0,150,140
20,1,1,139,128
21,0,0,137,117
22,1,0,132,110
23,2,0,119,87
24,0,0,126,101
25,0,0,117,93
26,0,0,100,98
27,1,0,93,71
28,0,0,101,74
29,0,0,101,71
30,0,0,88,60
31,1,1,94,48
32,0,0,91,54
33,0,0,81,41
34,0,0,71,42
35,1,0,78,42
36,2,1,73,43
37,0,0,77,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,74,18
42,1,0,75,18
43,0,0,64,28
44,0,0,55,20
45,0,0,38,13
46,0,0,57,14
47,0,0,41,12
48,0,0,48,14
49,0,1,48,10
50,0,0,43,9
51,0,0,39,8
52,0,0,30,13
53,0,0,35,9
54,1,0,28,9
55,0,0,37,6
56,1,0,35,7
57,0,0,23,6
58,0,0,22,5
59,0,0,21,3
60,0,NA,NA,NA
