"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,304,219
1,10,16,848,348
2,32,9,660,231
3,15,13,683,189
4,15,8,632,172
5,12,5,626,148
6,5,5,648,138
7,4,8,636,159
8,13,3,630,154
9,6,5,558,133
10,5,4,491,132
11,10,2,440,168
12,4,0,409,134
13,7,4,328,137
14,2,3,298,149
15,1,0,235,129
16,1,5,203,121
17,0,3,191,120
18,1,3,145,139
19,1,1,147,138
20,0,3,135,125
21,1,3,134,113
22,1,4,130,102
23,1,4,116,81
24,2,0,119,99
25,2,4,112,90
26,0,1,96,97
27,2,1,91,69
28,0,6,98,72
29,0,0,99,68
30,1,3,88,59
31,0,0,88,44
32,2,1,92,57
33,0,0,81,41
34,0,0,67,39
35,3,1,72,42
36,3,0,70,42
37,0,1,74,38
38,2,0,67,24
39,0,0,63,13
40,1,0,62,29
41,1,0,70,18
42,2,0,73,16
43,3,0,62,28
44,0,1,52,19
45,2,0,36,13
46,0,0,55,13
47,1,0,41,10
48,0,0,46,13
49,0,0,45,9
50,1,1,42,9
51,1,0,38,7
52,1,0,29,13
53,1,0,35,8
54,0,0,27,8
55,0,0,35,6
56,2,1,35,7
57,0,1,22,5
58,1,0,22,5
59,0,0,19,3
60,0,NA,NA,NA
