"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,4,212,173
2,16,21,606,260
3,12,17,498,174
4,12,26,512,156
5,5,25,498,133
6,5,21,503,109
7,7,13,534,102
8,8,11,518,126
9,9,19,513,127
10,3,11,444,111
11,7,8,387,106
12,2,14,337,129
13,3,6,332,106
14,0,8,280,116
15,2,4,247,123
16,1,13,205,114
17,1,3,178,100
18,1,7,154,103
19,0,6,129,119
20,3,6,115,109
21,4,5,114,104
22,4,2,105,87
23,1,1,96,84
24,2,4,96,68
25,0,3,99,80
26,0,2,89,62
27,1,2,83,77
28,0,1,84,55
29,0,1,81,54
30,0,1,85,56
31,0,1,76,48
32,0,0,79,42
33,0,1,75,40
34,1,1,66,30
35,1,0,63,31
36,0,1,58,31
37,1,3,62,34
38,0,0,61,34
39,1,0,55,19
40,0,1,52,9
41,1,0,54,27
42,0,0,59,17
43,0,0,65,14
44,1,0,56,23
45,0,0,44,13
46,1,0,29,12
47,0,1,52,11
48,1,2,36,7
49,0,0,36,10
50,0,0,35,8
51,0,0,37,7
52,1,0,32,7
53,1,0,28,10
54,0,0,32,8
55,0,1,22,7
56,1,0,33,4
57,0,0,29,6
58,0,0,19,4
59,0,1,19,4
60,0,0,16,3
