"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,3,205,166
2,9,6,590,249
3,2,12,487,169
4,7,9,499,152
5,1,10,487,130
6,5,10,498,105
7,8,5,515,101
8,3,10,514,126
9,3,4,498,123
10,3,9,435,108
11,0,5,385,103
12,4,3,329,127
13,2,5,325,104
14,3,2,275,112
15,3,1,239,120
16,0,2,204,113
17,2,1,176,97
18,1,0,153,99
19,2,1,127,118
20,3,0,113,108
21,1,3,113,103
22,2,2,102,86
23,2,3,94,82
24,5,2,91,67
25,1,0,98,78
26,1,1,88,62
27,2,0,81,76
28,0,1,84,54
29,0,0,81,53
30,2,3,83,54
31,0,2,76,47
32,1,0,79,40
33,1,0,74,39
34,0,3,66,30
35,0,3,63,31
36,0,2,58,30
37,3,1,57,34
38,5,1,55,31
39,2,1,55,18
40,0,0,52,9
41,1,1,53,27
42,1,0,58,17
43,0,2,65,14
44,0,0,56,23
45,1,2,41,13
46,1,0,29,12
47,0,0,52,11
48,2,3,34,7
49,0,2,37,10
50,0,1,35,8
51,0,2,37,7
52,1,0,31,7
53,0,1,28,9
54,1,0,30,8
55,0,0,22,7
56,2,0,32,4
57,0,0,29,6
58,0,1,19,3
59,1,0,18,4
60,0,0,14,3
