"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,2,293,217
1,9,9,824,341
2,33,13,648,228
3,15,7,675,187
4,18,2,629,169
5,11,7,621,146
6,9,6,645,135
7,5,3,633,159
8,10,6,625,153
9,6,4,556,131
10,5,5,489,131
11,11,2,438,168
12,5,6,406,133
13,9,3,328,137
14,1,8,296,147
15,2,5,235,128
16,1,0,202,120
17,0,5,188,120
18,4,4,146,137
19,1,2,146,137
20,2,6,135,125
21,0,4,132,109
22,1,4,128,102
23,2,3,115,81
24,1,1,119,96
25,2,2,111,89
26,0,1,96,96
27,2,1,90,69
28,1,1,98,72
29,1,1,99,68
30,1,0,88,58
31,0,0,88,44
32,1,0,90,55
33,1,0,81,41
34,0,2,67,39
35,3,2,70,42
36,2,3,69,41
37,0,1,77,38
38,2,2,67,23
39,0,0,63,13
40,1,0,62,29
41,0,0,69,18
42,1,1,72,16
43,4,0,62,28
44,0,0,52,19
45,1,0,36,13
46,0,0,55,13
47,1,0,41,10
48,0,1,47,13
49,0,1,45,9
50,1,1,42,9
51,0,0,38,7
52,2,0,29,12
53,1,0,35,9
54,0,0,27,8
55,0,1,36,6
56,2,1,35,7
57,0,1,22,5
58,1,0,23,5
59,1,1,18,3
60,0,NA,NA,NA
