"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,13,18,229,186
2,23,47,643,284
3,19,49,529,191
4,22,49,534,167
5,16,40,530,141
6,13,41,535,120
7,12,31,554,112
8,16,28,542,137
9,9,35,538,137
10,19,26,461,122
11,7,23,404,113
12,12,13,353,138
13,8,21,344,116
14,7,15,285,121
15,6,20,256,130
16,4,6,211,119
17,3,9,182,99
18,4,2,157,108
19,2,9,131,121
20,2,10,119,118
21,1,7,119,105
22,3,5,108,88
23,6,9,99,87
24,2,9,98,74
25,3,12,102,82
26,1,6,90,64
27,4,3,83,81
28,1,6,84,57
29,2,6,81,56
30,1,3,87,55
31,0,5,76,52
32,0,5,79,43
33,0,5,78,43
34,1,5,68,30
35,0,1,64,31
36,0,4,58,33
37,0,0,63,36
38,0,1,60,33
39,0,1,57,19
40,2,3,52,10
41,2,0,55,27
42,0,2,59,17
43,0,2,65,14
44,0,2,57,23
45,0,2,44,13
46,1,0,29,12
47,0,0,52,11
48,1,1,36,7
49,1,0,36,11
50,0,0,35,8
51,1,0,37,7
52,0,0,33,7
53,0,0,29,11
54,0,0,32,8
55,0,0,22,7
56,2,0,33,5
57,0,0,31,6
58,0,0,19,4
59,0,0,20,4
60,0,0,16,3
