"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,5,208,171
2,8,17,599,257
3,11,22,488,171
4,11,13,507,155
5,4,16,491,132
6,4,6,501,107
7,9,19,526,102
8,3,5,516,126
9,7,12,507,124
10,3,9,440,110
11,1,10,387,104
12,3,7,336,128
13,2,6,328,105
14,0,2,279,114
15,3,4,244,122
16,1,5,204,114
17,0,3,178,98
18,2,4,153,102
19,0,2,129,119
20,1,6,115,108
21,3,2,114,104
22,2,2,104,86
23,3,1,94,83
24,3,1,94,68
25,0,2,99,78
26,0,1,89,62
27,2,2,82,76
28,0,2,84,54
29,0,0,81,53
30,0,1,85,55
31,0,1,76,48
32,1,0,78,40
33,0,0,75,40
34,1,0,66,30
35,1,0,63,31
36,0,1,59,31
37,2,1,61,34
38,0,1,60,32
39,1,2,55,19
40,0,0,52,9
41,1,0,54,27
42,0,0,59,17
43,0,0,65,14
44,1,0,56,23
45,1,0,43,13
46,1,1,29,12
47,0,0,52,11
48,1,0,36,7
49,0,0,36,10
50,0,1,35,8
51,0,1,37,7
52,0,1,32,7
53,0,0,28,10
54,0,0,32,8
55,0,0,22,7
56,2,0,32,4
57,0,0,29,6
58,0,0,19,4
59,0,0,19,4
60,1,0,15,3
