"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,3,204,165
2,6,9,587,248
3,7,6,481,168
4,8,4,497,150
5,3,3,479,129
6,8,6,490,104
7,4,4,510,100
8,6,6,508,126
9,7,5,490,123
10,4,8,429,108
11,1,4,383,103
12,4,6,325,127
13,4,5,320,104
14,2,1,273,111
15,3,3,236,118
16,3,9,201,112
17,1,5,175,97
18,0,4,152,98
19,2,0,126,117
20,6,1,108,103
21,3,7,110,103
22,2,4,100,84
23,5,2,92,82
24,4,2,90,66
25,2,2,96,75
26,3,3,86,62
27,1,3,81,75
28,1,2,84,53
29,1,5,79,52
30,0,2,83,52
31,0,0,76,46
32,3,3,77,40
33,1,1,73,39
34,1,2,65,30
35,0,3,63,31
36,0,2,58,30
37,1,2,57,33
38,3,3,54,30
39,2,0,54,17
40,0,1,52,9
41,1,0,53,27
42,2,1,57,17
43,0,0,65,13
44,1,0,56,23
45,1,1,40,13
46,2,0,28,11
47,0,1,52,11
48,2,0,34,7
49,0,0,36,10
50,1,1,34,8
51,0,0,38,7
52,2,0,30,7
53,0,0,28,9
54,3,0,29,7
55,0,0,22,7
56,1,1,31,4
57,0,2,29,6
58,0,0,19,3
59,1,0,18,4
60,0,1,14,3
