"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,1,318,227
1,13,8,927,366
2,36,2,696,234
3,22,3,710,194
4,22,11,645,182
5,12,5,640,150
6,7,5,657,141
7,8,3,644,159
8,12,3,638,157
9,5,0,564,135
10,6,3,499,135
11,12,2,445,168
12,3,2,417,137
13,2,1,328,139
14,3,1,299,150
15,2,4,239,132
16,2,1,205,123
17,1,2,193,121
18,0,2,145,140
19,0,0,147,139
20,1,1,136,126
21,0,4,133,114
22,1,1,131,105
23,2,1,118,84
24,0,2,123,99
25,2,0,114,93
26,0,1,98,98
27,1,2,91,70
28,1,2,99,73
29,0,0,100,69
30,1,0,88,59
31,0,1,89,47
32,1,1,91,56
33,0,4,81,41
34,0,2,68,39
35,2,0,73,42
36,2,0,70,43
37,0,0,76,39
38,1,1,68,24
39,0,0,64,13
40,2,4,64,30
41,1,0,72,18
42,0,1,73,18
43,3,1,62,28
44,0,1,53,19
45,1,0,36,13
46,0,1,56,13
47,0,1,41,10
48,0,0,46,13
49,0,1,45,9
50,1,1,43,9
51,0,0,38,7
52,1,2,29,13
53,1,1,36,8
54,0,0,28,9
55,0,0,35,6
56,2,0,35,7
57,0,0,22,5
58,1,0,22,5
59,0,1,19,3
60,0,NA,NA,NA
