"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,259,206
1,8,5,731,317
2,22,11,599,214
3,11,10,637,182
4,16,7,596,155
5,9,10,597,139
6,10,6,626,130
7,9,8,605,155
8,19,16,615,149
9,4,16,539,129
10,8,11,470,126
11,10,7,417,160
12,7,4,391,129
13,5,5,316,132
14,5,4,284,145
15,6,10,229,128
16,3,7,198,115
17,4,4,177,117
18,5,5,141,134
19,1,7,139,132
20,1,5,132,125
21,1,7,122,105
22,4,7,118,97
23,8,6,111,78
24,3,4,112,94
25,5,3,100,81
26,6,8,91,92
27,5,1,84,66
28,3,6,90,67
29,2,6,94,65
30,4,4,81,56
31,3,5,81,45
32,5,7,82,50
33,4,5,73,39
34,6,2,67,36
35,1,4,65,39
36,3,4,68,40
37,0,7,70,37
38,4,2,61,22
39,2,6,58,13
40,1,3,57,27
41,6,5,62,18
42,2,4,67,15
43,1,4,58,26
44,2,2,47,14
45,1,2,33,13
46,1,1,54,12
47,1,1,40,9
48,1,3,39,11
49,3,1,37,9
50,1,1,38,9
51,0,1,35,7
52,1,2,29,11
53,1,0,33,8
54,0,0,23,7
55,1,2,34,6
56,3,3,32,7
57,0,2,19,5
58,0,1,21,4
59,1,0,17,3
60,0,NA,NA,NA
