"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,2,196,160
2,7,11,560,239
3,9,13,451,165
4,12,15,464,142
5,10,10,442,128
6,6,19,464,98
7,4,10,492,97
8,10,10,471,124
9,4,13,463,118
10,4,7,408,101
11,3,9,357,101
12,4,11,302,122
13,2,8,302,104
14,7,5,248,105
15,3,11,227,108
16,3,7,191,110
17,1,8,172,94
18,0,6,146,97
19,0,3,124,115
20,3,3,99,103
21,1,2,104,100
22,0,1,96,79
23,1,5,91,76
24,2,1,86,66
25,0,0,89,73
26,0,2,83,60
27,0,0,78,73
28,1,0,80,47
29,0,1,77,49
30,1,0,80,49
31,0,2,73,46
32,2,0,72,34
33,0,0,73,37
34,2,0,61,30
35,0,0,63,30
36,0,0,57,30
37,1,0,55,30
38,0,0,53,27
39,0,0,54,16
40,1,0,50,8
41,1,0,52,26
42,0,0,57,16
43,1,0,64,13
44,1,0,54,21
45,0,0,38,13
46,0,0,27,11
47,0,1,52,11
48,1,0,33,6
49,0,0,36,10
50,1,0,33,6
51,0,1,36,7
52,1,0,29,7
53,0,0,27,8
54,1,0,28,7
55,0,0,21,7
56,1,0,30,4
57,0,0,29,6
58,0,0,19,3
59,2,0,16,4
60,1,1,13,3
