"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,329,229
1,9,2,984,378
2,28,2,728,245
3,13,1,732,198
4,19,0,659,183
5,12,3,646,153
6,7,1,669,143
7,2,1,651,163
8,10,0,643,159
9,6,2,574,139
10,5,0,503,139
11,8,0,448,170
12,1,0,424,140
13,0,2,333,140
14,3,1,303,152
15,1,1,242,132
16,1,1,206,124
17,1,0,196,122
18,0,0,148,142
19,0,0,146,141
20,2,0,138,128
21,0,0,134,116
22,2,0,132,108
23,2,0,118,87
24,0,0,124,100
25,1,0,116,92
26,0,0,98,98
27,1,0,92,70
28,0,1,100,73
29,1,0,101,69
30,1,0,88,60
31,1,0,91,47
32,1,1,91,57
33,0,0,81,41
34,0,0,69,41
35,2,0,76,42
36,3,0,72,43
37,0,0,76,40
38,1,0,69,24
39,0,1,65,13
40,1,1,65,30
41,1,0,73,18
42,0,0,74,17
43,2,0,62,28
44,1,0,55,20
45,0,0,36,13
46,1,0,57,13
47,0,0,41,13
48,0,0,47,14
49,0,0,46,9
50,2,0,43,9
51,0,0,38,8
52,1,1,29,13
53,1,0,35,8
54,0,0,27,9
55,1,0,36,6
56,2,0,35,7
57,0,0,22,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
