"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,379,253
1,11,5,1163,424
2,20,12,838,273
3,19,4,827,221
4,14,2,717,192
5,5,3,689,172
6,7,2,692,151
7,2,1,681,176
8,3,1,657,173
9,3,2,584,145
10,0,0,523,151
11,3,1,457,173
12,3,1,434,146
13,3,1,343,144
14,1,2,306,157
15,3,0,249,133
16,0,0,211,126
17,0,1,202,127
18,0,0,152,148
19,0,2,149,141
20,2,0,140,129
21,1,0,137,117
22,2,0,135,111
23,1,0,120,87
24,1,0,126,102
25,0,0,118,95
26,0,0,101,98
27,2,0,94,71
28,0,1,102,75
29,0,0,103,71
30,0,0,89,60
31,1,0,96,50
32,0,0,91,54
33,0,0,80,41
34,0,0,72,43
35,0,0,79,42
36,1,0,74,44
37,0,0,78,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,75,18
42,1,1,76,18
43,0,0,66,28
44,0,0,56,20
45,0,0,38,13
46,0,0,58,13
47,0,1,42,12
48,0,0,48,14
49,0,1,48,10
50,0,0,43,9
51,0,0,39,8
52,0,0,31,13
53,0,0,35,9
54,1,0,28,9
55,0,0,37,6
56,1,0,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
