"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,4,270,212
1,7,13,759,322
2,20,14,606,215
3,13,7,646,185
4,14,4,602,158
5,10,1,603,139
6,12,7,631,131
7,8,7,617,156
8,13,7,614,150
9,5,4,547,130
10,7,6,478,127
11,9,2,425,160
12,6,4,396,131
13,2,6,321,132
14,5,5,289,146
15,3,3,231,130
16,3,1,203,116
17,0,1,180,117
18,8,5,142,138
19,2,2,142,133
20,2,3,133,125
21,0,3,125,107
22,2,1,122,101
23,7,10,113,78
24,2,6,116,95
25,2,4,107,85
26,0,3,93,92
27,5,0,87,69
28,3,4,94,71
29,0,0,96,68
30,4,4,85,57
31,1,4,86,45
32,1,3,85,51
33,2,1,77,41
34,2,1,67,37
35,4,2,68,41
36,2,2,68,41
37,1,3,73,37
38,2,1,63,22
39,3,2,61,13
40,2,1,62,28
41,1,2,65,18
42,3,0,68,15
43,3,5,60,27
44,1,3,49,15
45,2,3,34,13
46,1,2,55,13
47,0,5,40,10
48,1,3,43,13
49,3,1,39,9
50,2,3,38,9
51,1,0,35,7
52,1,2,29,11
53,1,1,34,8
54,0,2,24,8
55,3,1,35,6
56,2,2,33,7
57,1,2,20,5
58,1,2,21,4
59,2,0,17,3
60,0,NA,NA,NA
