"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,6,9,213,176
2,15,14,610,266
3,12,32,500,175
4,11,27,515,156
5,9,21,500,133
6,5,15,507,111
7,8,22,534,102
8,7,19,521,126
9,12,20,513,128
10,4,9,444,111
11,7,10,389,106
12,3,14,339,130
13,2,9,334,107
14,1,6,280,116
15,3,10,247,123
16,3,5,205,114
17,2,6,178,100
18,2,4,154,104
19,0,11,129,120
20,4,2,115,111
21,3,4,116,104
22,4,6,105,87
23,2,5,96,84
24,2,3,96,68
25,0,1,99,80
26,0,1,89,63
27,2,4,83,77
28,0,3,84,55
29,0,2,81,54
30,1,1,85,56
31,0,1,76,48
32,0,1,79,42
33,0,1,75,40
34,1,0,66,30
35,1,0,63,31
36,0,1,58,31
37,1,1,62,35
38,0,0,61,34
39,1,1,55,19
40,0,2,52,9
41,1,0,54,27
42,0,0,59,17
43,0,1,65,14
44,0,0,57,23
45,0,0,44,13
46,1,0,29,12
47,0,0,52,11
48,1,0,36,7
49,0,0,36,10
50,0,1,35,8
51,0,2,37,7
52,1,0,32,7
53,0,0,29,10
54,0,0,32,8
55,0,0,22,7
56,1,0,33,4
57,1,0,29,6
58,0,0,19,4
59,1,0,19,4
60,0,0,16,3
