"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,331,230
1,9,3,972,376
2,34,2,725,243
3,12,5,731,197
4,18,0,658,182
5,11,0,645,153
6,5,0,667,143
7,4,1,649,163
8,12,0,642,159
9,6,2,571,139
10,5,1,504,139
11,8,1,448,167
12,1,1,424,140
13,0,1,332,141
14,3,0,303,151
15,1,1,241,132
16,2,0,206,124
17,0,0,196,122
18,0,1,147,142
19,0,1,147,141
20,2,0,137,128
21,1,0,134,116
22,2,1,132,107
23,2,0,118,86
24,0,0,124,99
25,1,0,116,93
26,0,1,98,98
27,1,1,92,70
28,0,0,100,73
29,1,0,100,69
30,2,0,88,60
31,1,0,90,47
32,2,0,90,56
33,0,0,81,41
34,0,0,69,40
35,2,1,75,42
36,4,0,72,43
37,0,0,77,41
38,1,1,69,24
39,0,1,65,13
40,1,1,65,30
41,1,0,73,18
42,0,0,73,17
43,3,0,62,28
44,0,0,55,20
45,0,0,36,13
46,0,0,57,13
47,0,2,42,13
48,0,0,47,14
49,0,0,45,9
50,3,0,43,9
51,0,0,38,8
52,1,0,29,13
53,1,1,35,8
54,0,0,27,9
55,1,0,36,6
56,2,0,35,7
57,0,0,21,6
58,1,0,22,5
59,0,1,20,3
60,0,NA,NA,NA
