"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,6,208,172
2,8,18,601,257
3,11,16,491,171
4,10,19,508,155
5,4,13,492,132
6,3,15,502,107
7,9,7,527,102
8,4,18,516,126
9,6,5,509,124
10,4,10,440,110
11,1,8,387,104
12,2,11,337,128
13,4,7,328,105
14,0,4,279,115
15,3,1,243,122
16,1,4,204,114
17,0,4,178,98
18,2,4,153,102
19,0,5,129,119
20,1,2,115,108
21,4,6,114,104
22,3,2,104,86
23,3,2,94,83
24,2,1,95,68
25,0,1,99,78
26,0,2,89,62
27,2,1,82,76
28,0,2,84,54
29,0,2,81,53
30,0,0,85,55
31,0,1,76,48
32,1,1,78,40
33,0,0,75,40
34,1,0,66,30
35,1,0,63,31
36,0,0,58,31
37,2,1,62,34
38,0,1,60,32
39,1,1,55,19
40,0,2,52,9
41,1,0,54,27
42,0,0,59,17
43,0,0,65,14
44,1,0,56,23
45,0,0,44,13
46,1,0,29,12
47,0,1,52,11
48,1,0,36,7
49,0,0,36,10
50,0,0,35,8
51,0,1,37,7
52,1,1,32,7
53,0,1,28,10
54,0,0,32,8
55,0,0,22,7
56,1,0,33,4
57,0,0,29,6
58,0,0,19,4
59,0,0,19,4
60,1,0,15,3
