"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,343,235
1,13,7,1048,389
2,36,6,747,254
3,18,0,751,207
4,18,4,673,182
5,15,1,654,157
6,6,3,678,146
7,5,0,664,165
8,7,0,651,162
9,5,5,576,142
10,1,0,512,145
11,3,1,452,169
12,1,0,425,142
13,2,0,336,141
14,3,2,305,153
15,1,0,245,132
16,0,3,208,124
17,0,0,195,124
18,1,0,150,145
19,0,0,149,140
20,2,0,138,128
21,1,3,136,118
22,1,1,132,109
23,2,1,118,87
24,0,2,125,101
25,0,3,116,93
26,0,0,99,98
27,1,1,92,70
28,0,0,101,74
29,0,0,102,70
30,0,0,88,60
31,0,1,92,48
32,0,0,90,55
33,1,1,81,41
34,0,0,70,42
35,1,0,78,42
36,2,1,73,44
37,0,2,76,41
38,1,0,69,24
39,0,0,66,13
40,0,1,67,30
41,0,0,74,18
42,0,0,75,17
43,1,0,63,28
44,0,0,55,20
45,0,0,37,13
46,0,0,57,13
47,0,0,41,12
48,0,0,47,14
49,0,0,47,10
50,1,0,43,9
51,0,0,38,8
52,1,0,30,13
53,0,0,35,8
54,0,0,29,9
55,0,0,37,6
56,1,0,35,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
