"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,373,243
1,9,3,1121,416
2,29,4,822,268
3,16,0,803,220
4,18,4,703,187
5,11,3,678,171
6,6,3,688,149
7,2,3,673,169
8,6,2,655,172
9,1,0,583,143
10,4,4,519,150
11,5,3,455,170
12,2,0,430,145
13,4,1,341,143
14,1,0,306,155
15,3,0,246,132
16,2,0,209,125
17,2,0,199,127
18,1,1,152,147
19,0,0,150,140
20,1,1,140,128
21,0,1,137,117
22,1,0,134,110
23,1,1,119,87
24,0,0,126,102
25,0,0,117,95
26,0,0,100,98
27,2,3,93,71
28,0,0,101,74
29,0,0,102,71
30,0,1,89,60
31,0,0,95,50
32,0,1,91,54
33,0,0,81,41
34,0,0,72,43
35,0,0,77,42
36,2,0,73,44
37,1,0,77,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,74,18
42,1,0,76,18
43,0,0,66,28
44,0,0,56,20
45,0,0,38,13
46,0,0,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,48,10
50,0,0,43,9
51,0,0,39,8
52,0,0,31,13
53,0,0,35,9
54,1,0,29,9
55,0,0,37,6
56,1,0,35,7
57,1,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
