"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,8,10,215,176
2,14,30,616,267
3,9,27,505,177
4,9,26,517,157
5,11,14,504,133
6,8,29,508,112
7,11,24,535,103
8,6,18,526,129
9,7,11,520,128
10,8,16,444,111
11,6,14,392,106
12,4,16,339,131
13,3,10,335,109
14,1,8,280,116
15,5,9,248,123
16,2,8,206,114
17,2,3,178,100
18,1,8,155,104
19,0,6,129,121
20,3,6,115,112
21,3,3,117,104
22,3,9,106,88
23,3,1,96,84
24,2,4,96,68
25,1,6,99,80
26,1,4,89,63
27,2,3,83,77
28,0,0,84,56
29,0,0,81,55
30,1,4,85,56
31,1,4,76,48
32,0,1,79,42
33,0,1,75,40
34,1,1,66,30
35,1,0,63,31
36,0,1,58,32
37,0,0,63,35
38,0,0,61,34
39,1,0,55,19
40,1,1,52,9
41,1,0,54,27
42,0,0,59,17
43,0,2,65,14
44,0,0,57,23
45,0,0,44,13
46,1,1,29,12
47,0,0,52,11
48,1,0,36,7
49,0,0,36,10
50,0,0,35,8
51,1,0,37,7
52,1,0,32,7
53,0,1,29,10
54,0,1,32,8
55,0,0,22,7
56,1,0,33,4
57,1,0,29,6
58,0,0,19,4
59,1,0,19,4
60,0,0,16,3
