"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,1,316,224
1,6,3,906,361
2,39,5,688,234
3,16,10,700,194
4,20,12,640,181
5,14,4,636,150
6,11,8,652,138
7,5,9,641,159
8,12,5,634,155
9,4,4,562,135
10,7,3,495,134
11,12,2,443,168
12,3,2,415,137
13,3,6,330,138
14,3,4,297,150
15,4,2,237,131
16,1,2,202,121
17,4,2,193,120
18,0,3,145,139
19,1,4,148,138
20,0,2,136,125
21,0,0,134,113
22,1,1,130,104
23,1,3,118,84
24,0,1,121,99
25,2,3,113,93
26,1,2,98,98
27,1,1,91,70
28,0,0,98,73
29,1,0,100,69
30,1,0,88,59
31,0,0,89,46
32,1,5,90,56
33,0,0,81,41
34,0,1,68,39
35,3,1,73,42
36,3,1,70,43
37,0,2,77,39
38,1,2,67,24
39,0,1,63,13
40,3,0,63,29
41,0,1,72,18
42,0,1,74,16
43,3,0,62,28
44,0,2,53,19
45,1,0,36,13
46,0,0,56,13
47,0,0,41,10
48,0,0,46,13
49,0,0,45,9
50,1,0,43,9
51,0,1,38,7
52,1,1,29,13
53,2,0,35,8
54,0,0,27,9
55,0,0,35,6
56,2,0,35,7
57,0,0,22,5
58,1,0,22,5
59,0,0,19,3
60,0,NA,NA,NA
