"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,400,269
1,4,6,1276,450
2,19,2,901,285
3,11,4,869,233
4,14,7,746,203
5,4,5,708,176
6,3,5,706,155
7,3,5,687,184
8,4,1,668,175
9,4,1,591,150
10,1,1,534,153
11,2,1,467,174
12,0,3,442,147
13,1,1,346,149
14,3,1,311,158
15,0,1,250,138
16,0,1,214,129
17,1,2,201,130
18,0,4,156,149
19,0,2,155,141
20,0,1,145,130
21,0,0,140,117
22,0,1,135,111
23,1,1,120,89
24,0,1,127,101
25,0,0,117,96
26,1,0,103,99
27,1,0,95,71
28,0,0,102,77
29,0,0,102,71
30,0,0,89,60
31,1,0,96,50
32,1,0,91,54
33,0,0,80,41
34,0,0,72,43
35,0,0,82,42
36,1,0,74,44
37,0,0,77,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,76,18
42,0,0,76,18
43,0,0,66,28
44,0,0,57,20
45,0,0,38,13
46,0,0,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,49,10
50,0,0,43,9
51,0,0,40,8
52,0,0,31,13
53,0,0,36,9
54,0,0,28,9
55,0,0,37,6
56,2,0,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
