"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,1,1,205,166
2,8,4,590,249
3,3,7,486,168
4,8,4,498,151
5,2,11,486,129
6,8,4,495,105
7,5,13,514,100
8,2,7,514,126
9,7,4,495,123
10,5,6,431,108
11,0,2,385,103
12,4,2,328,127
13,3,3,324,104
14,3,1,274,112
15,4,0,237,119
16,0,1,204,112
17,2,1,176,97
18,1,4,153,98
19,1,3,127,118
20,5,3,112,107
21,2,2,112,103
22,1,1,102,85
23,2,3,94,83
24,5,1,91,68
25,1,1,98,77
26,1,1,88,62
27,1,4,81,76
28,0,2,84,53
29,2,0,80,53
30,2,0,83,53
31,0,4,76,47
32,1,3,79,40
33,2,2,73,39
34,0,1,66,30
35,0,1,63,31
36,0,1,58,30
37,3,2,57,34
38,4,2,55,30
39,1,0,55,18
40,0,2,52,9
41,1,0,53,27
42,2,2,57,17
43,0,0,65,14
44,0,1,56,23
45,0,3,41,13
46,2,2,29,12
47,0,1,52,11
48,2,2,34,7
49,0,0,36,10
50,0,1,35,8
51,0,0,37,7
52,1,0,31,7
53,0,0,28,9
54,1,0,30,8
55,0,1,22,7
56,2,0,32,4
57,0,0,29,6
58,0,0,19,3
59,1,0,18,4
60,0,0,14,3
