"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,331,230
1,9,2,972,376
2,33,5,722,243
3,13,1,730,197
4,18,0,657,182
5,11,0,645,153
6,5,1,667,143
7,4,1,651,162
8,12,2,642,159
9,6,1,572,139
10,5,1,503,139
11,8,2,447,168
12,1,1,424,140
13,0,0,331,140
14,3,2,303,150
15,1,1,241,132
16,2,0,207,124
17,0,2,194,121
18,1,1,146,142
19,1,0,147,141
20,2,0,137,128
21,1,1,134,116
22,2,0,132,107
23,2,0,118,86
24,0,0,124,99
25,1,1,116,93
26,0,1,98,98
27,1,0,92,70
28,0,0,100,73
29,1,0,100,69
30,1,0,88,60
31,1,0,90,47
32,2,0,90,56
33,0,0,81,41
34,0,1,69,40
35,2,0,75,42
36,3,0,72,43
37,0,1,77,41
38,1,1,69,24
39,0,1,65,13
40,1,0,65,30
41,1,0,73,18
42,0,0,72,17
43,3,0,62,28
44,0,0,54,20
45,1,0,36,13
46,0,2,58,13
47,0,0,41,13
48,0,0,47,14
49,0,0,45,9
50,3,0,43,9
51,0,0,38,8
52,1,1,29,13
53,1,0,35,8
54,0,0,27,9
55,1,0,35,6
56,3,0,35,7
57,0,0,21,6
58,1,1,22,5
59,0,0,21,3
60,0,NA,NA,NA
