"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,377,250
1,9,6,1153,423
2,27,2,836,273
3,16,3,824,221
4,9,2,712,190
5,11,3,684,172
6,9,0,691,150
7,3,4,682,174
8,4,1,656,173
9,2,1,584,145
10,0,2,522,151
11,2,1,458,174
12,2,0,432,145
13,4,1,342,144
14,1,1,306,155
15,2,2,247,133
16,1,0,210,126
17,1,0,201,128
18,0,0,152,148
19,0,1,148,141
20,1,2,140,129
21,1,1,138,117
22,1,0,135,111
23,1,0,119,87
24,2,2,126,102
25,0,0,118,95
26,0,1,100,98
27,2,0,94,71
28,0,0,102,75
29,0,0,102,71
30,0,0,89,60
31,0,0,96,50
32,0,0,92,56
33,0,0,80,41
34,0,0,72,43
35,0,0,79,42
36,2,0,74,44
37,0,0,76,41
38,0,1,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,75,18
42,1,0,75,17
43,0,1,67,28
44,0,0,56,20
45,1,1,38,13
46,0,0,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,48,10
50,0,0,43,9
51,0,0,39,8
52,0,0,31,13
53,0,0,35,9
54,1,0,28,9
55,0,0,37,6
56,1,0,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,21,3
60,0,NA,NA,NA
