"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,3,372,243
1,8,2,1126,419
2,33,2,830,270
3,14,1,811,221
4,14,1,706,189
5,10,1,680,171
6,9,1,690,149
7,2,1,674,171
8,5,0,655,172
9,2,0,583,145
10,1,0,520,150
11,4,1,458,171
12,3,1,432,145
13,4,0,342,144
14,1,1,306,155
15,3,1,247,133
16,0,1,210,125
17,0,2,201,127
18,0,0,152,147
19,0,1,151,140
20,1,0,140,129
21,0,1,137,117
22,2,2,134,111
23,1,0,119,87
24,0,0,126,101
25,0,2,117,96
26,0,2,100,98
27,2,0,93,71
28,0,0,101,74
29,0,0,101,71
30,0,0,89,60
31,0,0,95,50
32,1,0,91,55
33,0,0,81,41
34,0,0,72,43
35,0,1,78,42
36,2,1,73,44
37,1,0,77,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,74,18
42,2,0,75,17
43,0,0,66,28
44,0,0,56,20
45,0,1,38,13
46,0,0,58,13
47,0,1,41,12
48,0,0,48,14
49,0,0,48,10
50,0,0,43,9
51,0,0,39,8
52,0,0,31,13
53,0,0,35,9
54,1,0,28,9
55,0,0,37,6
56,1,0,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,21,3
60,0,NA,NA,NA
