"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,3,267,210
1,11,7,751,321
2,20,5,605,215
3,12,10,644,184
4,13,8,602,157
5,7,9,603,139
6,8,4,631,131
7,8,8,615,156
8,15,2,613,150
9,6,4,542,130
10,11,8,478,127
11,10,6,424,160
12,7,2,394,131
13,3,1,320,132
14,4,3,289,146
15,3,7,231,129
16,2,4,203,116
17,1,3,180,117
18,6,3,142,138
19,1,2,141,133
20,2,10,133,125
21,0,9,124,106
22,3,4,122,100
23,5,5,113,78
24,1,3,115,95
25,3,4,107,83
26,0,1,93,92
27,5,4,87,67
28,3,5,92,71
29,1,3,96,67
30,3,3,84,57
31,1,2,84,45
32,3,3,84,51
33,3,3,76,40
34,3,5,67,37
35,3,2,67,40
36,2,3,68,40
37,1,1,74,37
38,3,3,62,22
39,3,0,60,13
40,2,5,62,28
41,1,4,64,18
42,3,3,67,15
43,4,2,60,27
44,1,6,48,15
45,3,3,34,13
46,1,0,55,12
47,0,3,40,10
48,1,1,42,13
49,4,2,38,9
50,1,1,38,9
51,2,2,35,7
52,1,2,29,11
53,1,2,33,8
54,1,2,23,7
55,4,2,34,6
56,3,1,33,7
57,1,0,20,5
58,0,1,21,4
59,2,0,17,3
60,0,NA,NA,NA
