"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,3,356,239
1,10,3,1083,401
2,28,6,792,261
3,9,3,779,211
4,17,2,693,183
5,10,4,667,165
6,7,1,683,148
7,2,0,670,166
8,5,3,654,167
9,3,0,579,143
10,2,0,517,148
11,1,1,454,169
12,1,1,429,144
13,3,1,338,142
14,1,1,306,154
15,1,1,245,132
16,2,0,208,124
17,0,0,199,126
18,0,0,150,145
19,0,0,149,140
20,1,1,139,128
21,0,1,137,117
22,1,0,133,111
23,3,1,119,87
24,0,1,126,100
25,0,1,117,93
26,0,0,100,98
27,2,0,93,72
28,0,0,101,74
29,0,0,101,71
30,0,0,88,60
31,1,0,94,49
32,0,1,92,56
33,0,0,81,41
34,0,0,71,42
35,1,0,77,42
36,2,0,73,43
37,1,0,77,41
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,1,74,18
42,1,0,76,17
43,0,0,65,28
44,0,0,55,20
45,0,0,38,13
46,0,1,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,48,10
50,0,0,43,9
51,0,0,39,8
52,0,0,30,13
53,0,0,35,9
54,1,0,29,9
55,0,0,37,6
56,1,0,35,8
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
