"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,259,206
1,6,10,731,317
2,20,11,598,214
3,12,7,635,181
4,17,10,596,155
5,8,7,598,138
6,10,8,624,130
7,10,19,604,154
8,19,16,612,149
9,6,11,538,129
10,9,7,468,126
11,12,5,415,160
12,8,5,390,129
13,6,4,316,132
14,5,10,283,145
15,7,7,229,128
16,3,4,198,115
17,4,5,177,117
18,5,8,141,134
19,1,5,139,132
20,1,6,131,125
21,2,8,122,105
22,4,6,118,97
23,8,6,110,77
24,3,3,112,94
25,4,9,100,81
26,6,1,90,92
27,5,7,84,65
28,3,6,90,67
29,2,5,94,65
30,4,4,81,56
31,3,8,81,45
32,4,5,81,50
33,5,3,72,39
34,5,4,67,36
35,1,4,64,39
36,4,8,67,40
37,1,2,70,37
38,4,6,61,22
39,2,3,58,13
40,1,6,57,27
41,5,4,62,18
42,2,4,67,15
43,1,2,58,26
44,2,2,47,14
45,1,1,33,13
46,1,1,54,12
47,1,3,40,9
48,1,1,38,11
49,4,1,37,9
50,1,1,38,9
51,0,2,35,7
52,1,0,29,11
53,1,0,33,8
54,0,2,23,7
55,1,3,34,6
56,3,2,32,7
57,0,1,19,5
58,0,0,21,4
59,1,1,17,3
60,0,NA,NA,NA
