"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,391,260
1,4,6,1235,441
2,18,2,875,280
3,9,2,850,230
4,17,2,735,199
5,6,4,700,174
6,5,1,702,153
7,2,1,687,181
8,3,0,661,175
9,4,0,591,148
10,0,0,531,152
11,3,1,463,174
12,0,0,439,146
13,2,0,344,147
14,3,1,309,156
15,1,0,250,137
16,0,0,213,129
17,1,0,202,128
18,0,0,154,149
19,1,0,154,141
20,1,0,145,130
21,0,2,139,117
22,0,0,134,111
23,1,0,120,89
24,0,0,126,100
25,1,0,117,97
26,1,0,104,98
27,1,0,95,71
28,0,0,102,76
29,0,0,101,71
30,0,0,89,60
31,0,0,96,50
32,0,0,91,54
33,0,0,80,41
34,0,0,72,43
35,0,0,82,42
36,1,0,74,44
37,0,0,77,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,1,76,18
42,0,0,76,18
43,0,0,66,28
44,0,0,56,20
45,1,3,38,13
46,0,0,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,49,10
50,0,0,43,9
51,0,0,39,8
52,0,0,31,13
53,0,0,36,9
54,0,0,29,9
55,0,0,37,6
56,1,1,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
