"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,1,202,162
2,6,12,574,244
3,5,12,464,166
4,11,13,481,146
5,3,6,462,130
6,4,13,474,101
7,2,15,500,97
8,6,8,488,125
9,9,11,473,120
10,7,6,415,104
11,2,9,370,102
12,5,8,312,125
13,2,4,307,104
14,6,3,261,108
15,1,7,231,111
16,1,3,197,111
17,0,4,175,96
18,2,4,146,97
19,0,0,124,117
20,2,4,104,103
21,2,6,106,102
22,0,4,99,81
23,1,4,91,80
24,2,5,88,66
25,1,8,91,73
26,1,4,83,60
27,0,5,79,74
28,1,6,80,48
29,1,0,77,49
30,0,3,82,52
31,1,2,73,46
32,1,2,75,36
33,0,1,73,37
34,1,4,63,30
35,0,3,63,30
36,0,2,57,30
37,0,3,55,30
38,0,0,53,27
39,0,1,54,16
40,0,1,51,8
41,0,1,53,26
42,0,2,57,16
43,1,1,64,13
44,0,0,55,21
45,0,2,38,13
46,1,0,27,11
47,0,0,52,11
48,1,0,34,6
49,0,0,36,10
50,0,1,34,6
51,0,0,36,7
52,0,0,30,7
53,1,0,27,8
54,0,0,29,7
55,1,0,21,7
56,0,0,31,4
57,0,0,29,6
58,0,0,19,3
59,0,0,18,4
60,1,0,13,3
