"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,3,286,217
1,10,10,807,337
2,28,7,638,225
3,19,5,668,187
4,17,12,625,168
5,13,7,614,145
6,12,9,641,133
7,7,7,629,158
8,13,4,621,152
9,8,7,551,131
10,8,5,488,130
11,10,6,436,166
12,6,6,405,132
13,4,6,328,135
14,2,6,295,147
15,4,4,235,128
16,2,1,202,118
17,0,4,187,118
18,4,1,145,137
19,1,1,144,136
20,2,1,135,125
21,0,1,130,108
22,0,0,126,102
23,4,0,115,80
24,2,0,118,96
25,3,0,110,89
26,1,2,96,96
27,2,1,90,69
28,0,3,95,72
29,4,3,100,68
30,1,3,87,58
31,0,0,87,44
32,2,0,90,54
33,1,0,81,41
34,0,2,67,38
35,2,0,71,41
36,2,0,69,41
37,1,3,75,38
38,1,0,66,23
39,1,0,62,13
40,2,2,62,29
41,0,1,67,18
42,3,3,69,17
43,4,1,62,28
44,0,1,52,18
45,1,0,36,13
46,0,0,55,13
47,0,1,41,10
48,1,1,47,13
49,0,2,44,9
50,2,0,42,9
51,0,1,36,7
52,2,1,29,12
53,1,2,35,9
54,0,1,27,8
55,1,1,35,6
56,2,0,35,7
57,0,0,22,5
58,1,1,23,5
59,1,1,18,3
60,0,NA,NA,NA
