"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,8,255,201
1,8,17,703,310
2,24,17,582,211
3,11,14,616,180
4,18,22,582,153
5,12,14,588,134
6,10,18,606,128
7,19,24,588,149
8,15,19,596,147
9,11,14,522,128
10,13,12,453,122
11,19,16,399,156
12,14,7,381,125
13,9,13,310,131
14,5,15,280,138
15,1,11,224,128
16,6,8,195,111
17,5,17,168,116
18,9,13,137,134
19,4,10,135,127
20,2,6,126,123
21,5,12,116,101
22,5,11,116,97
23,4,6,108,76
24,2,14,109,93
25,4,11,91,76
26,7,10,90,89
27,2,13,84,61
28,1,8,85,66
29,3,6,94,62
30,1,6,79,55
31,2,3,81,45
32,1,5,79,48
33,0,10,68,35
34,5,6,66,35
35,1,4,60,37
36,5,2,66,38
37,2,3,67,36
38,2,2,60,20
39,1,5,58,11
40,0,2,57,27
41,1,5,61,18
42,1,2,66,15
43,1,3,57,26
44,0,1,46,14
45,0,2,32,13
46,0,6,52,12
47,1,1,37,9
48,2,3,37,11
49,1,3,36,9
50,0,1,37,9
51,1,0,35,7
52,0,1,29,11
53,0,0,32,8
54,1,1,23,7
55,0,1,34,5
56,2,1,31,7
57,0,1,19,4
58,0,2,21,4
59,1,0,17,3
60,1,NA,NA,NA
