"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,1,398,259
1,3,3,1223,440
2,19,5,871,280
3,11,4,850,230
4,13,2,733,198
5,7,1,698,173
6,7,0,700,152
7,3,0,689,180
8,3,0,661,174
9,3,0,589,148
10,1,0,531,152
11,2,2,461,175
12,1,0,439,146
13,2,1,343,145
14,3,0,309,157
15,1,0,250,136
16,0,0,212,129
17,2,0,202,128
18,0,0,153,149
19,2,0,154,141
20,2,0,145,130
21,0,0,139,117
22,0,0,134,111
23,1,0,120,89
24,0,0,126,101
25,1,0,117,96
26,1,0,104,98
27,1,0,94,71
28,1,0,102,76
29,0,0,102,71
30,0,0,89,60
31,0,1,96,50
32,0,0,91,55
33,0,0,80,41
34,0,0,72,43
35,0,3,80,42
36,1,0,74,44
37,0,0,78,42
38,0,0,69,24
39,0,0,66,13
40,0,0,68,30
41,0,0,76,18
42,0,0,76,17
43,0,0,66,28
44,0,0,56,20
45,1,1,38,13
46,0,1,58,13
47,0,0,41,12
48,0,0,48,14
49,0,0,48,10
50,0,0,43,9
51,0,3,39,8
52,0,0,31,13
53,0,0,36,9
54,0,0,28,9
55,0,0,37,6
56,1,0,36,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
