"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,1,5,245,196
1,9,28,680,296
2,26,33,563,201
3,14,33,576,176
4,24,25,562,148
5,18,24,569,128
6,14,31,585,118
7,19,31,570,145
8,16,18,573,143
9,17,29,495,126
10,23,26,434,119
11,18,33,372,148
12,18,33,364,120
13,12,18,297,128
14,8,18,266,134
15,6,13,217,126
16,8,8,191,109
17,4,11,159,115
18,11,19,133,126
19,2,19,125,122
20,7,16,120,118
21,4,9,110,97
22,4,14,107,90
23,4,11,98,74
24,3,12,106,90
25,4,6,91,69
26,2,9,86,82
27,4,7,84,59
28,0,9,83,61
29,2,2,91,58
30,3,4,78,53
31,1,13,79,44
32,3,5,79,44
33,0,8,67,32
34,1,5,67,32
35,0,3,59,36
36,2,0,65,36
37,0,3,63,35
38,5,2,59,20
39,1,1,55,10
40,2,2,55,27
41,3,2,59,17
42,0,1,65,14
43,1,1,57,24
44,0,2,44,14
45,2,1,31,12
46,1,1,52,11
47,0,1,36,9
48,2,1,37,10
49,0,1,35,9
50,1,2,38,8
51,0,2,34,7
52,1,2,29,11
53,0,0,32,8
54,0,2,22,8
55,2,0,33,5
56,3,0,31,6
57,0,0,19,4
58,0,1,20,4
59,0,0,16,3
60,0,NA,NA,NA
