"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,2,346,235
1,14,3,1044,389
2,33,0,745,254
3,20,3,752,207
4,18,1,673,182
5,16,5,654,157
6,6,2,677,146
7,5,1,663,165
8,7,5,650,162
9,6,0,576,142
10,1,1,513,145
11,3,0,450,170
12,1,1,425,142
13,1,1,336,140
14,3,0,305,153
15,1,3,245,132
16,0,0,208,124
17,0,0,195,124
18,1,0,150,145
19,0,0,149,140
20,2,2,138,128
21,1,1,136,118
22,1,1,132,109
23,2,2,118,87
24,0,3,125,100
25,0,0,116,93
26,1,1,99,98
27,1,1,92,70
28,0,0,101,74
29,0,0,102,70
30,0,1,88,60
31,0,0,92,48
32,0,2,90,55
33,0,0,81,41
34,0,0,70,42
35,1,1,77,43
36,2,2,73,43
37,0,0,76,41
38,1,0,69,24
39,0,1,66,13
40,0,0,67,30
41,0,0,74,18
42,0,0,75,17
43,1,0,63,28
44,0,0,55,20
45,0,0,37,13
46,0,0,57,13
47,0,0,41,12
48,0,0,47,14
49,0,0,47,10
50,1,0,43,9
51,0,0,38,8
52,1,0,30,13
53,0,0,35,8
54,0,0,28,9
55,0,0,37,6
56,1,0,35,7
57,0,0,23,6
58,0,0,22,5
59,0,0,20,3
60,0,NA,NA,NA
