"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,5,197,162
2,9,13,563,242
3,4,9,457,165
4,14,11,470,144
5,8,6,450,128
6,2,13,469,99
7,4,7,495,97
8,9,8,479,124
9,8,11,464,119
10,4,9,410,102
11,2,9,361,101
12,4,13,306,122
13,2,7,304,104
14,8,6,252,106
15,1,10,230,108
16,5,4,192,111
17,1,5,173,96
18,1,5,146,97
19,0,6,124,115
20,3,1,99,103
21,0,5,105,101
22,3,4,96,81
23,1,6,91,76
24,1,4,87,66
25,1,2,89,73
26,0,1,83,60
27,0,2,78,73
28,1,1,80,47
29,0,4,77,49
30,1,1,81,49
31,0,0,73,46
32,2,2,72,35
33,0,0,73,37
34,0,0,63,30
35,0,0,63,30
36,0,0,57,30
37,0,1,55,30
38,0,0,53,27
39,0,0,54,16
40,0,0,51,8
41,1,0,52,26
42,0,0,57,16
43,1,0,64,13
44,1,0,54,21
45,0,0,38,13
46,1,0,27,11
47,0,0,52,11
48,1,0,34,6
49,0,0,36,10
50,1,0,33,6
51,0,0,36,7
52,0,0,30,7
53,0,1,27,8
54,1,0,28,7
55,0,0,21,7
56,0,0,31,4
57,0,1,29,6
58,0,0,19,3
59,2,0,16,4
60,1,0,13,3
