"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,3,2,195,160
2,9,21,558,239
3,6,15,450,165
4,8,10,462,142
5,7,14,441,128
6,4,16,462,97
7,5,13,488,97
8,5,13,470,124
9,5,11,460,117
10,3,11,407,101
11,2,12,355,101
12,3,10,300,121
13,5,8,299,104
14,4,8,247,104
15,3,6,227,108
16,0,5,191,110
17,1,3,172,94
18,0,1,146,96
19,0,5,124,115
20,1,1,99,103
21,1,0,104,100
22,0,2,96,79
23,1,1,91,76
24,2,0,86,66
25,0,1,89,73
26,0,0,83,59
27,0,2,78,73
28,1,0,80,47
29,0,0,77,49
30,1,0,80,49
31,0,0,73,46
32,2,0,72,34
33,0,0,73,37
34,2,0,61,30
35,0,0,63,30
36,0,0,57,30
37,1,0,55,30
38,0,0,53,27
39,0,0,54,16
40,1,0,50,8
41,1,1,52,26
42,0,0,57,16
43,1,1,64,13
44,0,0,54,21
45,0,0,38,13
46,0,0,27,11
47,0,1,52,11
48,1,0,33,6
49,0,0,36,10
50,1,0,33,6
51,0,0,36,7
52,1,0,29,7
53,0,0,27,8
54,1,0,28,7
55,0,0,21,7
56,1,1,30,4
57,0,0,29,6
58,0,0,19,3
59,2,0,16,4
60,1,0,13,3
