"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,3,4,312,224
1,6,14,899,361
2,43,13,685,234
3,17,8,699,193
4,21,7,640,180
5,14,9,635,150
6,12,4,652,138
7,6,4,640,159
8,13,4,634,154
9,4,2,560,135
10,8,2,495,134
11,12,6,443,167
12,3,4,415,137
13,3,2,330,139
14,3,2,297,150
15,4,2,237,130
16,1,4,202,121
17,3,4,194,120
18,0,3,145,139
19,1,0,146,138
20,0,1,136,125
21,0,3,134,113
22,1,1,130,104
23,1,3,118,84
24,0,2,121,99
25,2,1,113,93
26,1,0,98,98
27,1,1,91,70
28,0,0,98,73
29,1,0,100,69
30,1,5,88,59
31,0,0,89,46
32,1,1,91,57
33,0,1,81,41
34,0,1,68,39
35,3,2,74,42
36,3,2,70,43
37,0,1,75,38
38,1,0,67,24
39,0,1,63,13
40,3,1,63,29
41,0,0,71,18
42,1,2,74,16
43,3,0,62,28
44,0,0,53,19
45,1,0,36,13
46,0,0,56,13
47,0,0,41,10
48,0,0,46,13
49,0,1,45,9
50,1,1,43,9
51,1,0,38,7
52,1,0,29,13
53,1,0,35,8
54,0,0,28,9
55,0,0,35,6
56,2,0,35,7
57,0,0,22,5
58,1,0,22,5
59,0,0,19,3
60,0,NA,NA,NA
