"dagen","IC_to_clinical","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
0,2,0,323,229
1,10,2,950,373
2,36,4,714,239
3,15,3,721,195
4,22,2,649,182
5,15,4,643,151
6,5,4,665,142
7,3,3,645,160
8,12,3,640,159
9,5,1,569,137
10,4,3,502,139
11,9,3,448,167
12,2,1,419,139
13,2,5,329,141
14,6,0,301,150
15,1,2,241,132
16,1,3,206,123
17,0,2,194,121
18,0,1,145,141
19,2,1,147,141
20,1,1,136,127
21,1,0,134,116
22,1,0,130,106
23,1,1,118,84
24,0,0,124,99
25,1,1,115,93
26,1,1,98,98
27,1,0,92,70
28,0,0,99,73
29,2,0,99,69
30,1,1,89,60
31,0,1,90,47
32,1,1,90,55
33,0,0,81,41
34,0,1,68,39
35,3,0,76,42
36,3,1,71,43
37,1,2,76,40
38,2,0,67,24
39,0,1,65,13
40,1,0,64,30
41,2,0,72,18
42,1,1,73,18
43,3,0,62,28
44,0,1,53,20
45,2,0,36,13
46,0,0,56,13
47,1,0,41,11
48,0,0,46,13
49,1,1,45,9
50,2,1,43,9
51,0,0,38,8
52,1,0,29,13
53,1,0,35,8
54,0,0,27,9
55,1,0,35,6
56,2,0,35,7
57,0,0,21,5
58,1,1,22,5
59,0,1,19,3
60,0,NA,NA,NA
