"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,2,4484,304
2,41,10100,771
3,37,11473,1016
4,25,10925,1151
5,33,9474,1264
6,36,7806,1126
7,31,6319,982
8,32,5573,888
9,17,4465,758
10,14,3643,645
11,18,3135,561
12,21,2584,454
13,22,2061,421
14,20,1830,352
15,15,1771,284
16,13,1422,243
17,13,1162,219
18,8,1008,159
19,9,923,174
20,3,769,130
21,8,671,121
22,12,638,119
23,10,575,93
24,4,480,86
25,4,431,89
26,2,402,57
27,0,344,56
28,1,346,61
29,3,305,34
30,7,267,36
31,3,229,33
32,2,241,36
33,1,207,35
34,1,182,39
35,1,164,26
36,1,172,22
37,1,167,15
38,2,126,15
39,0,95,16
40,2,109,16
41,3,84,12
42,2,92,10
43,1,90,12
44,3,95,8
45,2,82,12
46,2,64,5
47,4,54,14
48,1,52,9
49,5,65,7
50,4,59,4
51,5,53,1
52,2,36,0
53,4,46,5
54,1,42,3
55,2,38,5
56,0,32,5
57,5,29,3
58,3,33,6
59,2,28,3
60,4,22,2
