"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,15,2294,188
2,102,5129,481
3,115,6331,686
4,102,6507,775
5,120,5766,853
6,76,4887,773
7,67,3881,682
8,57,3393,582
9,37,2638,485
10,37,2185,421
11,39,1793,341
12,34,1503,287
13,17,1126,267
14,14,965,207
15,13,869,169
16,21,678,128
17,15,552,132
18,7,512,99
19,18,440,98
20,6,354,78
21,5,282,61
22,11,297,65
23,8,272,45
24,6,224,47
25,10,169,41
26,7,146,33
27,3,158,24
28,4,162,33
29,3,118,21
30,5,123,18
31,0,91,19
32,2,91,14
33,2,89,19
34,1,73,18
35,1,71,14
36,1,62,13
37,0,62,6
38,1,47,6
39,3,37,8
40,5,55,10
41,0,40,6
42,1,42,2
43,0,34,3
44,2,40,5
45,0,35,6
46,2,35,3
47,0,25,9
48,0,20,2
49,1,29,2
50,0,22,3
51,1,23,1
52,2,10,0
53,0,15,3
54,1,22,2
55,1,15,2
56,0,12,1
57,3,10,1
58,0,12,1
59,0,13,1
60,0,6,1
