"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,16,2546,210
2,149,5722,548
3,203,7100,781
4,211,7234,910
5,177,6410,1006
6,163,5395,889
7,100,4314,777
8,81,3735,691
9,87,2953,575
10,79,2445,478
11,75,2019,391
12,61,1665,331
13,68,1280,307
14,37,1113,233
15,28,1014,194
16,34,760,151
17,37,622,152
18,25,574,113
19,28,487,113
20,35,394,87
21,17,340,75
22,13,339,76
23,17,302,59
24,19,254,56
25,9,196,50
26,12,170,37
27,13,181,30
28,12,181,37
29,5,137,26
30,14,137,20
31,9,106,23
32,13,99,17
33,6,92,22
34,13,90,20
35,3,75,16
36,2,68,17
37,7,72,7
38,4,55,7
39,3,39,10
40,6,65,10
41,5,41,7
42,2,44,4
43,2,38,4
44,4,48,6
45,1,37,6
46,1,36,3
47,3,31,10
48,2,22,2
49,2,33,2
50,4,27,3
51,4,25,1
52,2,12,0
53,1,18,3
54,2,25,2
55,1,15,2
56,2,14,1
57,0,13,1
58,5,14,1
59,2,14,1
60,0,8,1
