"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,9,2701,218
2,79,6062,573
3,74,7556,827
4,82,7719,983
5,90,6814,1078
6,74,5693,951
7,48,4620,828
8,35,4010,745
9,51,3190,612
10,35,2616,508
11,32,2194,428
12,25,1807,361
13,35,1394,335
14,15,1189,259
15,18,1105,214
16,22,838,169
17,11,684,168
18,12,614,123
19,14,531,130
20,14,436,93
21,5,383,83
22,4,371,83
23,14,336,62
24,13,280,61
25,7,226,59
26,11,198,37
27,13,197,33
28,3,203,41
29,9,159,27
30,8,152,23
31,10,123,24
32,3,118,20
33,8,105,23
34,4,98,21
35,4,80,17
36,3,79,16
37,4,79,8
38,5,66,9
39,4,47,11
40,8,68,11
41,10,40,7
42,5,50,4
43,3,45,5
44,3,52,6
45,4,39,6
46,3,39,3
47,1,34,11
48,3,23,3
49,0,32,3
50,3,30,4
51,7,27,1
52,3,13,0
53,3,22,3
54,3,24,2
55,1,18,3
56,5,18,1
57,1,14,1
58,0,15,1
59,2,15,1
60,3,9,1
