"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,20,3159,225
2,66,6956,605
3,77,8241,862
4,114,8217,1006
5,100,7218,1112
6,77,5983,986
7,76,4881,859
8,74,4214,766
9,55,3368,636
10,35,2739,533
11,42,2296,456
12,35,1888,373
13,32,1467,348
14,38,1267,270
15,27,1168,225
16,28,899,181
17,19,737,172
18,22,648,129
19,16,567,133
20,20,467,95
21,18,410,90
22,23,401,89
23,8,356,63
24,9,305,66
25,20,242,62
26,12,212,41
27,12,215,35
28,11,219,43
29,9,177,28
30,6,167,25
31,9,138,25
32,7,131,23
33,10,109,25
34,7,109,23
35,6,93,20
36,8,90,17
37,7,93,8
38,3,75,10
39,5,56,11
40,2,71,11
41,8,45,9
42,8,60,4
43,4,52,7
44,2,55,5
45,1,41,6
46,4,43,3
47,0,38,13
48,1,26,7
49,4,34,3
50,3,37,4
51,0,30,1
52,3,14,0
53,1,23,4
54,1,27,2
55,0,20,4
56,1,18,1
57,4,18,1
58,1,19,2
59,1,14,1
60,4,10,1
