"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,4,2625,214
2,42,5903,561
3,90,7360,811
4,97,7519,960
5,85,6680,1052
6,100,5581,929
7,112,4502,809
8,67,3908,728
9,42,3093,600
10,60,2550,497
11,61,2116,419
12,55,1752,350
13,48,1356,326
14,47,1159,246
15,22,1070,206
16,28,811,163
17,35,655,157
18,31,597,119
19,16,507,128
20,23,421,91
21,17,369,79
22,12,357,80
23,15,321,62
24,19,270,59
25,16,212,56
26,13,185,37
27,21,192,30
28,16,192,40
29,8,147,27
30,7,144,22
31,4,115,24
32,6,112,19
33,6,99,23
34,10,92,21
35,8,80,16
36,3,74,17
37,3,74,8
38,9,60,9
39,6,44,10
40,4,65,11
41,7,45,7
42,4,46,4
43,6,42,4
44,2,50,6
45,2,38,6
46,2,37,3
47,9,32,10
48,3,23,2
49,6,32,3
50,3,28,3
51,2,26,1
52,4,13,0
53,3,19,3
54,2,23,2
55,4,16,2
56,4,17,1
57,2,13,1
58,2,14,1
59,2,14,1
60,1,9,1
