"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,4731,326
2,45,10639,813
3,54,12023,1055
4,63,11474,1188
5,86,9941,1300
6,38,8166,1151
7,45,6638,1012
8,35,5885,921
9,33,4720,784
10,30,3844,670
11,31,3333,580
12,29,2736,473
13,14,2219,437
14,16,1957,365
15,17,1906,298
16,17,1546,252
17,13,1251,226
18,12,1095,173
19,22,1022,180
20,2,854,141
21,7,731,129
22,12,709,120
23,10,625,101
24,10,510,90
25,12,482,92
26,9,443,62
27,2,376,59
28,6,374,65
29,5,336,37
30,7,290,37
31,8,240,39
32,5,261,36
33,4,226,37
34,3,195,41
35,1,188,27
36,2,196,24
37,0,185,16
38,3,139,17
39,2,104,19
40,6,130,19
41,0,94,12
42,0,105,11
43,4,100,15
44,4,104,9
45,2,92,12
46,2,70,8
47,2,58,13
48,3,55,9
49,0,65,7
50,0,60,4
51,5,63,2
52,3,42,0
53,2,47,5
54,3,49,4
55,4,42,7
56,1,36,5
57,2,33,3
58,0,32,6
59,6,31,3
60,1,26,3
