"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,5,3716,254
2,87,8306,675
3,107,9516,927
4,110,9246,1052
5,78,8082,1170
6,57,6721,1056
7,38,5407,903
8,65,4691,815
9,45,3755,690
10,68,3061,572
11,51,2580,499
12,62,2112,402
13,32,1643,375
14,39,1443,305
15,45,1360,251
16,41,1061,201
17,48,869,191
18,36,770,139
19,39,678,143
20,20,544,107
21,16,491,102
22,24,484,102
23,32,431,73
24,23,362,72
25,18,297,72
26,22,270,42
27,15,253,39
28,11,254,47
29,20,220,32
30,18,191,28
31,10,159,30
32,11,154,25
33,8,120,25
34,7,125,25
35,6,113,22
36,7,115,18
37,6,116,14
38,8,84,13
39,5,65,15
40,6,79,11
41,6,54,10
42,9,67,5
43,7,63,10
44,3,64,6
45,4,52,8
46,6,44,4
47,1,42,13
48,4,31,8
49,4,42,5
50,3,41,4
51,2,39,1
52,1,20,0
53,2,28,4
54,2,33,2
55,1,23,5
56,3,20,2
57,6,21,1
58,5,21,2
59,0,20,1
60,3,12,1
