"dagen","Treatment_time_hospitalized","Treatment_time_to_exit","Treatment_time_to_death"
1,7,2143,177
2,49,4781,466
3,23,5923,656
4,35,6086,737
5,42,5423,821
6,33,4589,735
7,28,3666,648
8,26,3174,543
9,21,2473,459
10,18,2057,403
11,13,1685,314
12,16,1414,260
13,15,1064,251
14,8,915,189
15,6,808,155
16,6,646,123
17,8,533,126
18,4,478,95
19,3,417,93
20,6,330,75
21,3,263,57
22,5,279,61
23,2,262,44
24,3,213,41
25,3,153,36
26,1,134,33
27,0,147,24
28,2,153,32
29,2,112,21
30,5,116,17
31,4,81,18
32,2,85,14
33,0,81,17
34,2,68,17
35,1,67,13
36,3,58,12
37,2,59,6
38,2,45,6
39,0,37,7
40,0,53,9
41,0,37,6
42,2,39,2
43,0,32,3
44,0,38,4
45,0,33,6
46,1,32,3
47,0,24,9
48,0,18,2
49,0,29,2
50,2,20,3
51,0,21,1
52,0,10,0
53,0,14,3
54,1,20,2
55,0,13,2
56,0,12,1
57,0,11,1
58,0,11,0
59,0,9,1
60,0,6,1
